,actual_importance,null_importance_0,null_importance_1,null_importance_2,null_importance_3,null_importance_4,null_mean,score_rank
5290eab1,470.5466901858648,0.0,0.0,0.0,3.9474166234334307,1.6379000345865886,1.117063331604004,50.0
overall_mean_392e14df,465.7015655835469,5.315941731135051,1.2558249632517497,2.6848666667938232,0.0,19.5743248462677,5.766191641489665,201.0
499edb7c,461.4909434914589,0.0,0.0,2.5528083642323813,2.5343250433603925,5.788400014241536,2.175106684366862,80.0
7da34a02,459.96912095944083,2.0158166885375977,0.0,1.1373333136240642,0.0,20.990641832351688,4.828758366902671,165.0
count_activity_diff_assessment,441.5161198178927,5.556183338165283,0.0,6.497300148010254,0.0,17.159133354822792,5.842523368199666,213.0
time_MAGMAPEAK,432.9094561934471,8.77994998296102,0.0,4.582941770553589,12.56630825996399,17.26554997762044,8.63894999821981,303.0
Cart Balancer (Assessment)_4070,432.69189912080765,4.248333215713501,2.982316732406616,2.680233319600423,0.0,7.6489667892456055,3.511970011393229,128.0
4022,432.2895915110905,5.4024332364400225,0.0,1.6657083829243977,0.0,8.768358548482258,3.1673000335693358,120.0
overall_mean_0db6d71d,432.2561480601628,2.7453999519348145,3.3387749989827475,6.410575071970622,3.8424415588378906,12.348408301671347,5.737119976679485,215.0
last_5_sum_num_miss56817e2b,424.8052627444267,1.6925500233968098,4.064049959182739,0.0,8.47689175605774,4.5320000648498535,3.753098360697428,143.0
overall_sum_e694a35b,423.3683002988497,1.6614333788553874,1.50041659673055,4.63123345375061,3.634791692097982,15.164616743723553,5.318498373031616,207.0
count_session,422.8119804064433,1.2680749893188477,0.0,0.0,1.4425415992736816,4.028200070063273,1.3477633317311606,63.0
count_MAGMAPEAK,421.937922000885,0.0,2.194591681162516,1.6752249399820964,0.0,9.382141908009848,2.6503917058308923,110.0
clip_abandon,412.6296276251475,0.0,0.0,1.3994083404541016,0.0,1.82402499516805,0.6446866671244302,46.0
count_Activity_curr_world,412.46026331186295,0.0,1.1510583559672039,6.032350063323975,0.0,2.6979416211446123,1.9762700080871582,84.0
overall_mean_e9c52111,408.68103754520416,2.0919334093729653,5.972408294677734,3.111150105794271,6.274616718292236,16.79002515474955,6.848026736577351,268.0
overall_mean_b74258a0,408.3663186033567,4.288983265558878,0.0,5.68161670366923,6.048591613769532,23.429874738057457,7.8898132642110195,293.0
6bf9e3e1,405.23774711291,0.0,0.0,6.3503083388010655,0.0,0.0,1.270061667760213,66.0
mean_num_missca11f653,404.4469658136368,4.79242499669393,0.0,7.970375061035155,2.5986083348592124,8.209324995676676,4.7141466776529946,192.0
overall_mean_90efca10,402.5272093812625,1.382966677347819,1.9056000709533691,1.9583415985107422,0.0,28.055283149083458,6.660438299179077,266.0
overall_mean_9ee1c98c,398.54220938682556,1.4876333872477214,1.6757416725158691,6.580158392588298,10.197866757710774,67.714182694753,17.531116580963136,576.0
